sku,price,errors
2010020,3.090,"Product Type is invalid or not supported"
2010052,1.360,"Product Type is invalid or not supported"
2010120,3.120,"Product Type is invalid or not supported"
2010138,6.700,"Product Type is invalid or not supported"
2010158,0.580,"Product Type is invalid or not supported"
2010159,0.580,"Product Type is invalid or not supported"
2010200,0.390,"Product Type is invalid or not supported"
2010201,0.390,"Product Type is invalid or not supported"
2050331,2.090,"Product Type is invalid or not supported"
2060018,5.820,"Product Type is invalid or not supported"
3010020,3.090,"Product Type is invalid or not supported"
3010158,0.580,"Product Type is invalid or not supported"
3010200,0.390,"Product Type is invalid or not supported"
4010158,0.580,"Product Type is invalid or not supported"
50002,3.350,"Product Type is invalid or not supported"
50007-M,8.390,"Product Type is invalid or not supported"
50013-M,9.960,"Product Type is invalid or not supported"
50015,2.190,"Product Type is invalid or not supported"
50019,1.560,"Product Type is invalid or not supported"
50020,1.560,"Product Type is invalid or not supported"
50021,1.560,"Product Type is invalid or not supported"
50022,1.560,"Product Type is invalid or not supported"
50038,3.250,"Product Type is invalid or not supported"
50042,2.620,"Product Type is invalid or not supported"
50046,5.230,"Product Type is invalid or not supported"
50046-M,5.230,"Product Type is invalid or not supported"
50057,2.290,"Product Type is invalid or not supported"
50058,3.720,"Product Type is invalid or not supported"
50061,14.280,"Product Type is invalid or not supported"
50072-M,5.200,"Product Type is invalid or not supported"
5010158,0.580,"Product Type is invalid or not supported"
50103,3.780,"Product Type is invalid or not supported"
50108,19.990,"Product Type is invalid or not supported"
50178,3.550,"Product Type is invalid or not supported"
50185,12.430,"Product Type is invalid or not supported"
50192,2.190,"Product Type is invalid or not supported"
50240,3.460,"Product Type is invalid or not supported"
50264,3.290,"Product Type is invalid or not supported"
50290,16.790,"Product Type is invalid or not supported"
50306,3.350,"Product Type is invalid or not supported"
50314,7.330,"Product Type is invalid or not supported"
50334,22.360,"Product Type is invalid or not supported"
50347,4.290,"Product Type is invalid or not supported"
50347-DGY,4.290,"Product Type is invalid or not supported"
50347-OE,4.290,"Product Type is invalid or not supported"
50354,9.990,"Product Type is invalid or not supported"
50354-DGY,9.990,"Product Type is invalid or not supported"
50403,28.290,"Product Type is invalid or not supported"
50439,13.580,"Product Type is invalid or not supported"
50464,30.020,"Product Type is invalid or not supported"
50485,6.700,"Product Type is invalid or not supported"
50524,4.990,"Product Type is invalid or not supported"
50542,24.560,"Product Type is invalid or not supported"
50581,5.200,"Product Type is invalid or not supported"
50588,3.720,"Product Type is invalid or not supported"
50589,5.560,"Product Type is invalid or not supported"
50592,20.520,"Product Type is invalid or not supported"
50601,3.250,"Product Type is invalid or not supported"
50611,7.330,"Product Type is invalid or not supported"
50612-SR,2.720,"Product Type is invalid or not supported"
50615,1.590,"Product Type is invalid or not supported"
50616,0.980,"Product Type is invalid or not supported"
50617-SR,1.100,"Product Type is invalid or not supported"
50623,6.200,"Product Type is invalid or not supported"
50636,36.900,"Product Type is invalid or not supported"
50652-BE,3.720,"Product Type is invalid or not supported"
50656,4.600,"Product Type is invalid or not supported"
50660,9.330,"Product Type is invalid or not supported"
