sku,qty,price,errors
50108,100000,"19,990","Product Type is invalid or not supported"
50178,100000,"3,550","Product Type is invalid or not supported"
50185,100000,"12,430","Product Type is invalid or not supported"
50192,100000,"2,190","Product Type is invalid or not supported"
50240,100000,"3,460","Product Type is invalid or not supported"
50264,100000,"3,290","Product Type is invalid or not supported"
50290,100000,"16,790","Product Type is invalid or not supported"
50306,100000,"3,350","Product Type is invalid or not supported"
50314,100000,"7,330","Product Type is invalid or not supported"
50334,100000,"22,360","Product Type is invalid or not supported"
50347,100000,"4,290","Product Type is invalid or not supported"
50347-DGY,100000,"4,290","Product Type is invalid or not supported"
50347-OE,100000,"4,290","Product Type is invalid or not supported"
50354,100000,"9,990","Product Type is invalid or not supported"
50354-DGY,100000,"9,990","Product Type is invalid or not supported"
50403,100000,"28,290","Product Type is invalid or not supported"
50439,100000,"13,580","Product Type is invalid or not supported"
50464,100000,"30,020","Product Type is invalid or not supported"
50485,100000,"6,700","Product Type is invalid or not supported"
50524,100000,"4,990","Product Type is invalid or not supported"
50542,100000,"24,560","Product Type is invalid or not supported"
50581,100000,"5,200","Product Type is invalid or not supported"
50588,100000,"3,720","Product Type is invalid or not supported"
50589,100000,"5,560","Product Type is invalid or not supported"
50592,100000,"20,520","Product Type is invalid or not supported"
50601,100000,"3,250","Product Type is invalid or not supported"
50611,100000,"7,330","Product Type is invalid or not supported"
50612-SR,100000,"2,720","Product Type is invalid or not supported"
50615,100000,"1,590","Product Type is invalid or not supported"
50616,100000,"0,980","Product Type is invalid or not supported"
50617-SR,100000,"1,100","Product Type is invalid or not supported"
50623,100000,"6,200","Product Type is invalid or not supported"
50636,100000,"36,900","Product Type is invalid or not supported"
50652-BE,100000,"3,720","Product Type is invalid or not supported"
50656,100000,"4,600","Product Type is invalid or not supported"
50660,100000,"9,330","Product Type is invalid or not supported"
50664,100000,"2,720","Product Type is invalid or not supported"
50672,100000,"2,300","Product Type is invalid or not supported"
50673,100000,"7,450","Product Type is invalid or not supported"
50674,100000,"4,390","Product Type is invalid or not supported"
50675,100000,"4,690","Product Type is invalid or not supported"
50679,100000,"3,980","Product Type is invalid or not supported"
50682,100000,"11,030","Product Type is invalid or not supported"
50690-BE,100000,"1,560","Product Type is invalid or not supported"
50690-GY,100000,"1,560","Product Type is invalid or not supported"
50690-SR,100000,"1,560","Product Type is invalid or not supported"
50694-BE,100000,"3,690","Product Type is invalid or not supported"
50694-BK,100000,"3,690","Product Type is invalid or not supported"
50694-BKR,100000,"3,690","Product Type is invalid or not supported"
50694-DGN,100000,"3,690","Product Type is invalid or not supported"
50694-LRD,100000,"3,690","Product Type is invalid or not supported"
50694-M,100000,"3,690","Product Type is invalid or not supported"
50694-MG,100000,"3,690","Product Type is invalid or not supported"
50694-RD,100000,"3,690","Product Type is invalid or not supported"
50694-S,100000,"3,690","Product Type is invalid or not supported"
50694-WEC,100000,"3,690","Product Type is invalid or not supported"
50703,100000,"3,720","Product Type is invalid or not supported"
50703-DGY,100000,"3,720","Product Type is invalid or not supported"
50703-OE,100000,"3,720","Product Type is invalid or not supported"
50719,100000,"2,480","Product Type is invalid or not supported"
50732,100000,"11,180","Product Type is invalid or not supported"
50733,100000,"3,250","Product Type is invalid or not supported"
50776,100000,"4,600","Product Type is invalid or not supported"
50793,100000,"5,980","Product Type is invalid or not supported"
50801,100000,"18,320","Product Type is invalid or not supported"
50805,100000,"6,760","Product Type is invalid or not supported"
50806,100000,"11,590","Product Type is invalid or not supported"
50810,100000,"10,500","Product Type is invalid or not supported"
50811,100000,"4,290","Product Type is invalid or not supported"
50812,100000,"10,500","Product Type is invalid or not supported"
50822,100000,"11,700","Product Type is invalid or not supported"
50823,100000,"10,490","Product Type is invalid or not supported"
50826,100000,"7,330","Product Type is invalid or not supported"
50847-RD,100000,"4,280","Product Type is invalid or not supported"
50858,100000,"16,990","Product Type is invalid or not supported"
50868,100000,"18,680","Product Type is invalid or not supported"
50883-GY,100000,"2,230","Product Type is invalid or not supported"
50884-CR,100000,"2,230","Product Type is invalid or not supported"
50884-GY,100000,"2,230","Product Type is invalid or not supported"
