sku,price
51586-LGY,1.620
51587-LGY,2.300
51592,2.980
51593,2.980
51594,2.300
51595,2.300
51596,4.600
51601,31.490
51602,24.980
51603,37.390
51604,2.990
51606-BK,2.990
51606-SBE,2.990
51606-SBK,1.850
51608-BK,3.720
51608-SBE,3.720
51608-SBK,3.720
51610-BK,2.690
51610-OE,2.690
51610-SBK,2.690
51612,7.990
51613,8.790
51614,9.990
51615-BK,0.760
51615-RD,0.760
51615-WE,0.760
51618-BE,0.530
51618-BK,0.530
51618-RD,0.530
51618-WE,0.530
51619,16.790
51620,10.490
51621,12.590
51623,2.720
51625,14.990
51626,12.990
51627,6.290
51629-BK,1.100
51629-SR,1.100
51629-WE,1.100
51630,11.860
51631,4.990
51632,2.960
51633,2.090
51634,5.760
51635,19.520
51636,32.650
51637,23.090
51638-S,20.780
51639,37.260
51640,49.860
51641,1.880
51642,5.220
51643,5.230
51644,2.480
51645,11.700
51647,12.430
51648,4.090
51649,32.390
51650-BK,0.630
51650-SR,0.630
51651,8.920
51652,9.330
51653,13.330
51654,3.500
51655,3.500
51656,1.850
51657,5.460
51658,6.290
51659,24.980
51660,3.720
51661,4.990
51663,6.790
51665-WE,1.520
51666-BK,14.990
51666-WE,14.990
51667,29.900
51668,8.350
51669,3.990
51671,17.420
51672,12.430
51673,4.600
51674,11.490
51676,3.120
51677-BE,0.920
51677-BK,0.920
51677-RD,0.920
51677-SR,0.920
51679,18.680
51681-BK,26.680
51681-S,26.680
51683,12.080
51684,7.330
51685,47.990
51688-WEBE,0.280
51688-WEBK,0.280
51688-WELGN,0.280
51688-WEMG,0.280
51688-WEOE,0.180
51688-WERD,0.280
51688-WEWE,0.280
51688-WEYW,0.280
51689-BK,4.190
51689-S,4.190
51689-WE,4.190
51690-BK,1.250
51690-WE,1.250
51693-BK,1.150
51693-WE,1.150
51694-BK,1.150
51694-BKR,2.090
51694-WE,1.150
51694-WER,2.090
51695-BK,5.980
51695-WE,5.980
51707-BE,0.390
51707-BK,0.390
51707-DGY,0.390
51707-RD,0.390
51708-BE,0.390
51708-BK,0.390
51708-DGY,0.390
51708-RD,0.390
51708-SR,0.390
51709-BE,0.280
51709-BK,0.280
51709-DGY,0.280
51709-RD,0.280
51709-SR,0.280
51713-BK,1.230
51713-SR,1.230
51714,14.990
51715,11.990
51716,7.990
51717,1.150
51718,5.760
51719,5.990
51720,7.330
51721-BK,1.290
51721-BKR,2.090
51721-WE,1.360
51721-WER,2.090
51722,9.990
51723,2.390
51724,4.990
